Name,Store Number,Convenience,Shopping,Specialty,Unsought,Other
AUTAUGA COUNTY,1001,80867,7447,53842,19578,76672
BALDWIN COUNTY,1003,338236,23710,145180,169346,299880
BARBOUR COUNTY,1005,10116,2342,5434,2340,10070
EUFAULA CITY,1005,26182,3558,15900,6724,29843
BIBB COUNTY,1007,32486,3664,21846,6976,31662
BLOUNT COUNTY,1009,69966,6929,48563,14474,68297
ONEONTA CITY,1009,13464,992,8541,3931,12726
BULLOCK COUNTY,1011,14876,3061,9273,2542,14713
BUTLER COUNTY,1013,32062,6439,18770,6853,31393
ANNISTON CITY,1015,23776,4344,11810,7622,24320
CALHOUN COUNTY,1015,86559,8361,54887,23311,93475
JACKSONVILLE CITY,1015,14925,1563,8599,4763,22806
PIEDMONT CITY,1015,11695,1507,7287,2901,11355
OXFORD CITY,1015,43617,3494,23131,16992,41504
CHAMBERS COUNTY,1017,35550,5072,21545,8933,35428
LANETT CITY,1017,9413,1648,5717,2048,9419
CHEROKEE COUNTY,1019,40647,4419,24019,12209,41646
CHILTON COUNTY,1021,66020,7864,43959,14197,66004
CHOCTAW COUNTY,1023,17426,2531,8525,6370,15660
CLARKE COUNTY,1025,28164,4509,16842,6813,28934
THOMASVILLE CITY,1025,13572,1334,8364,3874,15018
CLAY COUNTY,1027,18425,2182,12797,3446,17663
CLEBURNE COUNTY,1029,25205,2707,17402,5096,25478
COFFEE COUNTY,1031,20354,2611,12825,4918,20509
ELBA CITY,1031,7152,993,4367,1792,7238
ENTERPRISE CITY,1031,61888,6348,38269,17271,65966
COLBERT COUNTY,1033,31196,3250,15582,12364,30748
SHEFFIELD CITY,1033,13779,2114,7041,4624,13310
TUSCUMBIA CITY,1033,15100,1307,8686,5107,16985
MUSCLE SHOALS CITY,1033,29431,1589,15851,11991,28870
CONECUH COUNTY,1035,21921,2967,9542,9412,19915
COOSA COUNTY,1037,10642,1554,5986,3102,10517
ANDALUSIA CITY,1039,18650,2360,9571,6719,15978
COVINGTON COUNTY,1039,31073,3635,19108,8330,29870
OPP CITY,1039,13595,1586,8108,3901,13643
CRENSHAW COUNTY,1041,21294,2690,13343,5261,21222
CULLMAN CITY,1043,30963,2857,15071,13035,30044
CULLMAN COUNTY,1043,94578,8181,58949,27448,93836
DALE COUNTY,1045,29011,2786,18692,7533,27492
OZARK CITY,1045,23012,2548,14093,6371,23479
DALEVILLE CITY,1045,10999,1804,6770,2425,10652
DALLAS COUNTY,1047,36746,7636,22598,6512,35428
SELMA CITY,1047,35241,6753,21192,7296,39712
DE KALB COUNTY,1049,84601,11216,54725,18660,83676
FORT PAYNE CITY,1049,28952,3630,17672,7650,28145
ELMORE COUNTY,1051,98521,8978,61887,27656,96876
TALLASSEE CITY,1051,17726,1549,10823,5354,17696
BREWTON CITY,1053,11443,1045,6727,3671,26652
ESCAMBIA COUNTY,1053,45791,5948,27364,12479,48595
ATTALLA CITY,1055,16009,1940,10917,3152,17120
ETOWAH COUNTY BOARD OF EDUCATION,1055,79322,7905,53478,17939,79601
GADSDEN CITY,1055,53345,9295,29199,14851,52913
FAYETTE COUNTY,1057,22528,2639,14527,5362,21990
FRANKLIN COUNTY,1059,33368,4304,21231,7833,34380
RUSSELLVILLE CITY SCHOOLS,1059,26359,3258,16084,7017,27093
GENEVA COUNTY,1061,26402,3640,17603,5159,25792
GENEVA CITY,1061,13016,1227,8750,3039,11983
GREENE COUNTY,1063,14695,2381,7645,4669,14897
HALE COUNTY,1065,28497,3778,17349,7370,27221
HENRY COUNTY,1067,24166,2573,15381,6212,24025
DOTHAN CITY,1069,88129,12655,50399,25075,85409
HOUSTON COUNTY,1069,55122,6092,33481,15549,55759
JACKSON COUNTY,1071,58256,6854,35239,16163,58329
SCOTTSBORO CITY,1071,27634,2085,15142,10407,26990
BESSEMER CITY,1073,41288,7480,21905,11903,42030
BIRMINGHAM CITY,1073,273626,43262,125189,105175,272202
FAIRFIELD CITY,1073,18479,3282,11172,4025,18371
JEFFERSON COUNTY BOARD OF EDUCATION,1073,344274,33131,199350,111793,338349
TARRANT CITY,1073,12580,2255,6940,3385,12468
LEEDS CITY,1073,27699,1522,10713,15464,32285
TRUSSVILLE CITY,1073,47842,971,23259,23612,65049
HOOVER CITY,1073,168040,6088,69229,92723,165436
MOUNTAIN BROOK SCHOOLS,1073,61403,793,20122,40488,59779
HOMEWOOD CITY,1073,52340,2202,17538,32600,47726
MIDFIELD CITY,1073,11987,2401,6921,2665,12501
VESTAVIA HILLS CITY,1073,78089,1738,33190,43161,88933
LAMAR COUNTY,1075,22275,2637,14731,4907,23060
FLORENCE CITY,1077,55334,5078,23387,26869,52958
LAUDERDALE COUNTY,1077,76888,6248,48206,22434,76362
LAWRENCE COUNTY,1079,51703,5697,31283,14723,53773
LEE COUNTY,1081,95695,7077,56426,32192,94539
OPELIKA CITY SCHOOLS,1081,47847,4849,22979,20019,47136
AUBURN CITY,1081,134959,4440,41613,88906,131695
ATHENS CITY,1083,40524,2990,19155,18379,40785
LIMESTONE COUNTY,1083,88553,6940,53070,28543,106503
LOWNDES COUNTY,1085,21642,6200,10961,4481,21098
MACON COUNTY,1087,23758,4356,14019,5383,26578
HUNTSVILLE CITY,1089,267800,27807,113117,126876,410031
MADISON COUNTY,1089,187046,12291,111079,63676,185652
MADISON CITY,1089,105927,5007,56050,44870,101154
DEMOPOLIS CITY,1091,19779,2120,12518,5141,19572
MARENGO COUNTY,1091,11585,1540,7058,2987,11678
LINDEN CITY,1091,5672,863,3617,1192,5448
MARION COUNTY,1093,31887,3573,20888,7426,31060
WINFIELD CITY,1093,12965,1269,7723,3973,13028
MARSHALL COUNTY,1095,56422,7747,35295,13380,64739
BOAZ CITY,1095,22813,2457,13373,6983,22413
ALBERTVILLE CITY,1095,49795,7277,28885,13633,46778
ARAB CITY,1095,23606,1544,15096,6966,26202
GUNTERSVILLE CITY,1095,20195,1878,10821,7496,19412
MOBILE COUNTY,1097,564939,78217,310545,176177,606882
SARALAND CITY SCHOOLS,1097,28801,2047,15459,11295,37818
CHICKASAW CITY SCHOOLS,1097,9219,1619,5489,2111,9386
SATSUMA CITY,1097,13229,1148,7742,4339,18106
