State Code,County Code,Name,Percentage Investment
0,0,United States,14
1,10,Alabama,17.2
1,11,Autauga County,13.5
1,13,Baldwin County,11.7
1,15,Barbour County,29.9
1,17,Bibb County,20.1
1,19,Blount County,14.1
1,111,Bullock County,32.6
1,113,Butler County,24.8
1,115,Calhoun County,17.1
1,117,Chambers County,19.9
1,119,Cherokee County,16.8
1,121,Chilton County,18.3
1,123,Choctaw County,22.7
1,125,Clarke County,29
1,127,Clay County,18.9
1,129,Cleburne County,17.2
1,131,Coffee County,14.4
1,133,Colbert County,16.7
1,135,Conecuh County,28.1
1,137,Coosa County,17.5
1,139,Covington County,19.6
1,141,Crenshaw County,20.5
1,143,Cullman County,14.9
1,145,Dale County,20.6
1,147,Dallas County,35.4
1,149,DeKalb County,20.5
1,151,Elmore County,13.5
1,153,Escambia County,23.3
1,155,Etowah County,17.5
1,157,Fayette County,20.3
1,159,Franklin County,20.1
1,161,Geneva County,20.9
1,163,Greene County,34
1,165,Hale County,23.7
1,167,Henry County,18.7
1,169,Houston County,19.4
1,171,Jackson County,17.5
1,173,Jefferson County,15.3
1,175,Lamar County,18.6
1,177,Lauderdale County,15.2
1,179,Lawrence County,16.8
1,181,Lee County,18.3
1,183,Limestone County,12.8
1,185,Lowndes County,31.7
1,187,Macon County,30
1,189,Madison County,13.5
1,191,Marengo County,25.8
1,193,Marion County,18.5
1,195,Marshall County,21
1,197,Mobile County,19.5
1,199,Monroe County,25.7
1,1101,Montgomery County,18.8
1,1103,Morgan County,15.8
1,1105,Perry County,35
1,1107,Pickens County,25.8
1,1109,Pike County,25.1
1,1111,Randolph County,21.8
1,1113,Russell County,19.3
1,1115,St. Clair County,12
1,1117,Shelby County,7.9
1,1119,Sumter County,32.4
1,1121,Talladega County,18
1,1123,Tallapoosa County,20.2
1,1125,Tuscaloosa County,17.6
1,1127,Walker County,20.5
1,1129,Washington County,18.2
1,1131,Wilcox County,31.9
1,1133,Winston County,17.3
2,20,Alaska,9.9
2,213,Aleutians East Borough,14.8
2,216,Aleutians West Census Area,8
2,220,Anchorage Borough,7.2
2,250,Bethel Census Area,25.5
2,260,Bristol Bay Borough,11.4
2,268,Denali Borough,6.3
2,270,Dillingham Census Area,19.6
2,290,Fairbanks North Star Borough,8.5
2,2100,Haines Borough,10.3
2,2105,Hoonah-Angoon Census Area,19.1
2,2110,Juneau Borough,7.4
2,2122,Kenai Peninsula Borough,12
2,2130,Ketchikan Gateway Borough,9.2
2,2150,Kodiak Island Borough,7.3
2,2158,Kusilvak Census Area,37.8
2,2164,Lake and Peninsula Borough,20.9
2,2170,Matanuska-Susitna Borough,9.5
2,2180,Nome Census Area,24
2,2185,North Slope Borough,11.9
2,2188,Northwest Arctic Borough,27.8
2,2195,Petersburg Borough,8.4
2,2198,Prince of Wales-Hyder Census Area,17.5
2,2220,Sitka Borough,7.9
2,2230,Skagway Municipality,4.4
2,2240,Southeast Fairbanks Census Area,11.8
2,2261,Valdez-Cordova Census Area,9.2
2,2275,Wrangell City and Borough,11.5
2,2282,Yakutat Borough,16.8
2,2290,Yukon-Koyukuk Census Area,23
4,40,Arizona,16.4
4,41,Apache County,33.2
4,43,Cochise County,21.1
4,45,Coconino County,17.8
4,47,Gila County,20.3
4,49,Graham County,22.9
4,411,Greenlee County,12
4,412,La Paz County,24.8
4,413,Maricopa County,15
4,415,Mohave County,18.3
4,417,Navajo County,28.2
4,419,Pima County,18.2
4,421,Pinal County,15.4
4,423,Santa Cruz County,20.9
4,425,Yavapai County,13.3
4,427,Yuma County,19.3
5,50,Arkansas,17.2
5,51,Arkansas County,18.1
5,53,Ashley County,17.9
5,55,Baxter County,12.7
5,57,Benton County,9.1
5,59,Boone County,15.4
5,511,Bradley County,23.5
5,513,Calhoun County,17.1
5,515,Carroll County,17.2
5,517,Chicot County,30.1
5,519,Clark County,22.3
5,521,Clay County,19.1
5,523,Cleburne County,16.3
5,525,Cleveland County,15.8
5,527,Columbia County,24.2
5,529,Conway County,18.9
5,531,Craighead County,16.2
5,533,Crawford County,16.8
5,535,Crittenden County,25.5
5,537,Cross County,19.4
5,539,Dallas County,20.8
5,541,Desha County,26.5
5,543,Drew County,19.2
5,545,Faulkner County,16
5,547,Franklin County,17.9
5,549,Fulton County,23.2
5,551,Garland County,17.8
5,553,Grant County,11.5
5,555,Greene County,15.3
5,557,Hempstead County,20.7
5,559,Hot Spring County,14.7
5,561,Howard County,18.7
5,563,Independence County,15.9
5,565,Izard County,20.1
5,567,Jackson County,24.1
5,569,Jefferson County,23.3
5,571,Johnson County,18.4
5,573,Lafayette County,27.4
5,575,Lawrence County,20
5,577,Lee County,35.9
5,579,Lincoln County,27.6
5,581,Little River County,17.5
5,583,Logan County,18.2
5,585,Lonoke County,12.4
5,587,Madison County,18.3
5,589,Marion County,20.7
5,591,Miller County,22.4
5,593,Mississippi County,24.6
5,595,Monroe County,27
5,597,Montgomery County,22.4
5,599,Nevada County,20.4
5,5101,Newton County,19.9
5,5103,Ouachita County,24.7
5,5105,Perry County,16.9
5,5107,Phillips County,32.3
5,5109,Pike County,18.2
5,5111,Poinsett County,22.7
5,5113,Polk County,23.4
5,5115,Pope County,17.5
5,5117,Prairie County,17.8
5,5119,Pulaski County,17.2
5,5121,Randolph County,18.9
5,5123,St. Francis County,31.6
5,5125,Saline County,8.7
5,5127,Scott County,19.7
5,5129,Searcy County,23.1
5,5131,Sebastian County,16.9
5,5133,Sevier County,20.8
5,5135,Sharp County,21.3
5,5137,Stone County,21.8
5,5139,Union County,19.3
5,5141,Van Buren County,16.7
5,5143,Washington County,15.8
5,5145,White County,15.7
5,5147,Woodruff County,26.3
5,5149,Yell County,18
6,60,California,14.4
6,61,Alameda County,10.7
6,63,Alpine County,18.6
6,65,Amador County,11.3
6,67,Butte County,19.5
6,69,Calaveras County,13.1
6,611,Colusa County,11.1
6,613,Contra Costa County,8.7
6,615,Del Norte County,23.7
6,617,El Dorado County,8.7
6,619,Fresno County,25.5
6,621,Glenn County,16.7
6,623,Humboldt County,20
6,625,Imperial County,23.6
6,627,Inyo County,12.3
6,629,Kern County,22.4
6,631,Kings County,17.4
6,633,Lake County,20.7
6,635,Lassen County,17.6
6,637,Los Angeles County,16.3
6,639,Madera County,20.4
6,641,Marin County,7.8
6,643,Mariposa County,17.9
6,645,Mendocino County,19
6,647,Merced County,20.3
6,649,Modoc County,18.4
6,651,Mono County,11.5
6,653,Monterey County,12.9
6,655,Napa County,7.9
6,657,Nevada County,10.9
6,659,Orange County,11.1
6,661,Placer County,7.2
6,663,Plumas County,12.6
6,665,Riverside County,15.3
6,667,Sacramento County,16.3
6,669,San Benito County,10.5
6,671,San Bernardino County,17.6
6,673,San Diego County,12.4
6,675,San Francisco County,10.2
6,677,San Joaquin County,14.6
6,679,San Luis Obispo County,11
6,681,San Mateo County,6.6
6,683,Santa Barbara County,13.9
6,685,Santa Clara County,9.3
6,687,Santa Cruz County,13.4
6,689,Shasta County,17.2
6,691,Sierra County,14.4
6,693,Siskiyou County,18.8
6,695,Solano County,11.4
6,697,Sonoma County,9.4
6,699,Stanislaus County,14.5
6,6101,Sutter County,17.1
6,6103,Tehama County,20.9
6,6105,Trinity County,21.3
6,6107,Tulare County,24.7
6,6109,Tuolumne County,15.4
6,6111,Ventura County,9.8
6,6113,Yolo County,19
6,6115,Yuba County,16.6
8,80,Colorado,11
8,81,Adams County,11.7
8,83,Alamosa County,24.8
8,85,Arapahoe County,9
8,87,Archuleta County,12
8,89,Baca County,20.2
8,811,Bent County,34.1
8,813,Boulder County,10.8
8,814,Broomfield County,5.3
8,815,Chaffee County,11.4
8,817,Cheyenne County,14
8,819,Clear Creek County,8.1
8,821,Conejos County,22.7
8,823,Costilla County,30.4
8,825,Crowley County,48
8,827,Custer County,13.6
8,829,Delta County,17.8
8,831,Denver County,14
8,833,Dolores County,13.2
8,835,Douglas County,3.4
8,837,Eagle County,7.9
8,839,Elbert County,6
8,841,El Paso County,11.5
8,843,Fremont County,17.5
8,845,Garfield County,9.1
8,847,Gilpin County,7.5
8,849,Grand County,8.2
8,851,Gunnison County,13.8
8,853,Hinsdale County,10
8,855,Huerfano County,21.9
8,857,Jackson County,14.1
8,859,Jefferson County,7
8,861,Kiowa County,13.9
8,863,Kit Carson County,14.3
8,865,Lake County,14.6
8,867,La Plata County,10.9
8,869,Larimer County,11.2
8,871,Las Animas County,21.6
8,873,Lincoln County,18.1
8,875,Logan County,16.4
8,877,Mesa County,15
8,879,Mineral County,9.3
8,881,Moffat County,12.9
8,883,Montezuma County,15.1
8,885,Montrose County,16.4
8,887,Morgan County,11.7
8,889,Otero County,23.6
8,891,Ouray County,8.8
8,893,Park County,9.2
8,895,Phillips County,11.5
8,897,Pitkin County,6.9
8,899,Prowers County,20.9
8,8101,Pueblo County,19.9
8,8103,Rio Blanco County,9.5
8,8105,Rio Grande County,17.5
8,8107,Routt County,7.2
8,8109,Saguache County,27.6
8,8111,San Juan County,15.5
8,8113,San Miguel County,10.1
8,8115,Sedgwick County,14.8
8,8117,Summit County,7.9
8,8119,Teller County,9.5
8,8121,Washington County,14.3
8,8123,Weld County,11.5
8,8125,Yuma County,12.3
9,90,Connecticut,9.9
9,91,Fairfield County,8.6
9,93,Hartford County,10.9
9,95,Litchfield County,7.2
9,97,Middlesex County,7.9
9,99,New Haven County,11.4
9,911,New London County,9.3
9,913,Tolland County,7.2
9,915,Windham County,11.9
10,100,Delaware,11.8
10,101,Kent County,13.6
10,103,New Castle County,11.3
10,105,Sussex County,11.6
11,110,District of Columbia,18.5
11,111,District of Columbia,18.5
12,120,Florida,14.8
12,121,Alachua County,22.3
12,123,Baker County,17.2
12,125,Bay County,14.9
12,127,Bradford County,18.6
12,129,Brevard County,14.7
12,1211,Broward County,13.5
12,1213,Calhoun County,21.9
12,1215,Charlotte County,12.6
12,1217,Citrus County,16.6
12,1219,Clay County,9.6
12,1221,Collier County,11.4
12,1223,Columbia County,17.8
12,1227,DeSoto County,28.6
12,1229,Dixie County,25.4
12,1231,Duval County,14.5
12,1233,Escambia County,15.2
12,1235,Flagler County,11.2
12,1237,Franklin County,23.1
12,1239,Gadsden County,20.6
12,1241,Gilchrist County,17.3
12,1243,Glades County,21.5
12,1245,Gulf County,23.5
12,1247,Hamilton County,28.9
12,1249,Hardee County,23.8
12,1251,Hendry County,25.1
12,1253,Hernando County,15.4
12,1255,Highlands County,19.1
12,1257,Hillsborough County,15
12,1259,Holmes County,24.2
12,1261,Indian River County,12.3
